CODE_CLT;C_CHEQUE_MNT;C_CHEQUE_NB;C_DEBLOC_CREDIT_MNT;C_DEBLOC_CREDIT_NB;C_MNT;C_NB;C_VERS_ESPECE_MNT;C_VERS_ESPECE_NB;C_VIREMENT_MNT;C_VIREMENT_NB;D_CHEQUE_MNT;D_CHEQUE_NB;D_MNT;D_NB;D_PMNT_TPE_MNT;D_PMNT_TPE_NB;D_REMB_CREDIT_MNT;D_REMB_CREDIT_NB;D_RET_DAB_MNT;D_RET_DAB_NB;D_RET_ESPECE_MNT;D_RET_ESPECE_NB;D_VIREMENT_MNT;D_VIREMENT_NB
5503;0;0;0;0;1055.363667;2.333333333;0;0;1055.327667;1.666666667;0;0;1056.859;8;0;0;351.7076667;2;456.0266667;1.333333333;233.3333333;0.666666667;0;0
5504;0;0;0;0;659.706;1.333333333;0;0;659.703;1;0;0;660.6893333;3.666666667;0;0;0;0;0;0;653.3333333;1;1.416;1
5505;0;0;0;0;680.6353333;1;0;0;680.6353333;1;0;0;690.937;5.666666667;0;0;237.1803333;1;440.6333333;2;0;0;0;0
5506;0;0;0;0;1043.682;1.333333333;0;0;1043.682;1.333333333;0;0;1092.589;10.66666667;0;0;156.4003333;1;920;7.333333333;0;0;0;0
5507;0;0;0;0;57.62333333;1;0;0;57.622;0.666666667;0;0;86.258;1.666666667;0;0;0;0;0;0;85.66666667;1;0;0
5508;0;0;0;0;526.456;1.666666667;0;0;526.451;1.333333333;0;0;530.4376667;7.333333333;0;0;323.5746667;1;0;0;188.6666667;1;1.888;1.333333333
5509;0;0;0;0;1262.733;2.333333333;0;0;1219.751;1.666666667;0;0;1985.639333;9.333333333;0;0;552.646;1;0;0;1400;1.666666667;0;0
5510;0;0;0;0;662.117;2;0;0;662.1026667;1.333333333;0;0;698.3686667;10.33333333;0;0;296.7236667;1;134.5333333;1.666666667;242.3333333;1.333333333;0;0
5511;0;0;0;0;1001.291667;1.333333333;1000;0.666666667;0;0;0;0;741.1466667;3;0;0;0;0;0;0;736.444;2;0;0
5512;0;0;0;0;1006.937667;1.666666667;0;0;1006.937667;1.666666667;0;0;1013.752333;5.333333333;0;0;231.46;1;0;0;774.9066667;2;1.888;1.333333333
5513;0;0;0;0;761.9523333;2.333333333;0;0;761.9433333;2;0;0;765.0703333;7.333333333;0;0;237.42;2;0;0;508.3333333;1;0;0
5514;0;0;6000;0.333333333;6991.633333;2;106.6666667;0.333333333;884.9666667;1.333333333;55.222;0.666666667;7142.003333;10.33333333;0;0;2732.848667;0.666666667;548.5066667;1.666666667;3449;1.333333333;49.33333333;0.333333333
5515;0;0;0;0;965.0746667;2;0;0;965.0716667;1.666666667;0;0;966.493;6;0;0;364.1543333;1;0;0;590;1;2.36;1.666666667
5516;0;0;0;0;1068.747333;2;0;0;1067.892;1.333333333;0;0;955.2993333;11.33333333;0;0;337.806;2;573.6766667;3.666666667;0;0;0;0
5517;0;0;0;0;3471.982;2.666666667;1033.333333;0.333333333;2434.241333;2;0;0;2439.566333;5.666666667;0;0;305.7333333;1;0;0;2125;2;2.832;2
5518;0;0;0;0;650.1776667;1.333333333;0;0;650.1776667;1.333333333;0;0;651.8063333;4.666666667;0;0;211.9006667;1;0;0;428;1;0;0
5519;0;0;0;0;513.3363333;1.666666667;0;0;513.3333333;1.333333333;0;0;515.974;7;0;0;41.36366667;0.333333333;0;0;371.6666667;1;0;0
5520;0;0;0;0;836.0276667;2;0;0;835.9796667;1.666666667;0;0;785.0696667;8.666666667;0;0;352.428;2;200;1.333333333;214.9066667;1;0;0
5521;0;0;0;0;236.4713333;0.666666667;233.3333333;0.333333333;0;0;0;0;0.746;0.333333333;0;0;0;0;0;0;0;0;0;0
5522;0;0;0;0;502.6546667;1.666666667;0;0;502.6516667;1.333333333;0;0;505.801;9.666666667;0;0;303.277;1;0;0;165;1;0;0
5523;550;0.666666667;0;0;553.8486667;1.333333333;0;0;0;0;0.074666667;0.666666667;261.554;4;0;0;0;0;10;0.666666667;250;1.666666667;0;0
5524;0;0;0;0;643.783;1.333333333;0;0;643.783;1.333333333;0;0;644.0766667;7;0;0;263.514;2;0;0;366.6666667;1;1.888;1.333333333
5525;0;0;0;0;1180.070667;2;0;0;1180.066667;1.666666667;0;0;1075.395333;9.333333333;0;0;379.681;1.666666667;50.38333333;0.666666667;514.3333333;1;0;0
5526;0;0;0;0;844.7723333;2;0;0;819.2903333;1.333333333;0;0;814.1416667;3.666666667;0;0;256.011;1;0;0;546.6666667;0.333333333;1.888;1.333333333
5527;0;0;0;0;845.251;2.333333333;0;0;845.224;1.666666667;0;0;845.593;9.333333333;0;0;387.6263333;2;441.9033333;2.666666667;0;0;0;0
5528;0;0;0;0;83.34833333;0.666666667;0;0;83.33333333;0.333333333;0;0;172.9026667;6;0;0;0;0;0;0;158.24;1.666666667;0;0
5529;0;0;0;0;755.2973333;2.666666667;100;0.666666667;655.2943333;1.666666667;0;0;755.0366667;7.333333333;0;0;310.7876667;3;0;0;433.6666667;1.333333333;0;0
5530;0;0;0;0;0;0;0;0;0;0;0;0;57.66;0.666666667;0;0;0;0;0;0;53.33333333;0.333333333;0;0
5531;0;0;0;0;1093.301;1.666666667;366.6666667;1;722.589;0.333333333;101.545;1.333333333;556.2586667;5.333333333;26.33333333;0.333333333;0;0;0;0;333.3333333;0.333333333;0;0
5532;0;0;0;0;566.9556667;2;0;0;566.9416667;1.666666667;0;0;617.8766667;10.33333333;0;0;293.865;1;298.5466667;4.333333333;0;0;0;0
5533;0;0;0;0;966.615;1.333333333;0;0;966.615;1.333333333;0;0;1098.438;9.333333333;0;0;482.4493333;2;273.3333333;2.333333333;316.48;1.333333333;0;0
5534;0;0;0;0;385.914;4.333333333;385;4;0;0;0;0;115.301;1;0;0;0;0;0;0;115;0.666666667;0;0
5535;0;0;0;0;422.3456667;1.666666667;0;0;422.3436667;1.333333333;0;0;424.2103333;6.666666667;0;0;221.052;0.666666667;0;0;33.33333333;0.333333333;0;0
5536;0;0;0;0;617.885;1.666666667;0;0;617.885;1.666666667;0;0;619.5513333;6.666666667;0;0;242.8556667;1;0;0;356.3333333;1.333333333;0;0
5537;0;0;0;0;855.7706667;1.666666667;133.3333333;0.333333333;722.3926667;1;0;0;712.6446667;7;0;0;393.4123333;1;0;0;300;0.666666667;0;0
5538;0;0;0;0;1128.184;1.333333333;0;0;1128.168;1;0;0;1168.872667;6;0;0;364.211;2;0;0;783.3333333;1;0;0
5539;0;0;0;0;182.1176667;1;176.6666667;0.666666667;0;0;0;0;84.54166667;0.666666667;0;0;0;0;0;0;83.33333333;0.333333333;0;0
5540;0;0;0;0;1159.898;3.333333333;0;0;1159.782333;2;0;0;1011.582333;12.33333333;0;0;362.975;2;634.9866667;6;0;0;0;0
5541;0;0;0;0;1191.947667;1.666666667;0;0;1191.944667;1.333333333;0;0;1238.343;10.33333333;0;0;451.078;2;544.4;3;223.3333333;0.333333333;0;0
5542;0;0;0;0;1000.232333;1.333333333;0;0;1000.229333;1;0;0;999.3443333;14;0;0;268.1566667;2;555.24;3.666666667;6.666666667;0.333333333;0;0
5543;0;0;0;0;747.528;2.333333333;266.6666667;1;456.707;1;0;0;529.6976667;2.666666667;0;0;0;0;0;0;520;2;0;0
5544;0;0;0;0;860.3773333;2;0;0;860.368;1.666666667;0;0;851.6456667;10;0;0;332.7676667;3;498.1466667;3.333333333;0;0;0;0
5545;0;0;8333.333333;0.333333333;10441.23633;3;0;0;1514.566667;2;0;0;10113.88;9.333333333;0;0;6794.292;1.333333333;0;0;1930;2.666666667;593.3333333;0.333333333
5546;0;0;0;0;2074.003;2.333333333;33.33333333;0.333333333;2040.666667;1.666666667;0;0;2007.981333;8.333333333;0;0;1780.409667;1;33.33333333;0.666666667;33.33333333;0.333333333;2.36;1.666666667
5547;0;0;0;0;652.5616667;1.666666667;0;0;652.5616667;1.666666667;0;0;623.543;6.666666667;0;0;63.58466667;0.666666667;543.3333333;2;0;0;0;0
5548;0;0;0;0;197.7776667;1;0;0;197.7776667;1;0;0;199.076;1.666666667;0;0;0;0;0;0;193.3333333;0.333333333;1.416;1
5549;0;0;8766.666667;0.333333333;10119.682;3;0;0;1353.011333;2.333333333;0;0;9777.375333;18;0;0;8282.177;5;914.3166667;4;146.6666667;0.333333333;0;0
5550;0;0;5066.666667;0.333333333;5766.504333;2.666666667;0;0;699.8346667;2;0;0;5237.032;13;0;0;4402.021667;1.666666667;566.6666667;1.666666667;15;0.333333333;2.832;2
5551;0;0;0;0;569.53;2.333333333;0;0;569.53;2.333333333;0;0;565.9976667;11.66666667;0;0;162.755;1;380;5.666666667;0;0;0;0
5552;0;0;0;0;659.673;2;0;0;659.6363333;1.333333333;0;0;650.359;5.666666667;0;0;250.236;1;0;0;383.3333333;1;0;0
5553;0;0;0;0;50;1;50;1;0;0;0;0;45.517;3;0;0;0;0;0;0;0;0;0;0
5554;0;0;0;0;12488.74267;3;12486.66667;2.666666667;0;0;6067.569667;7.333333333;6151.846;12.66666667;0;0;0;0;66.66666667;0.333333333;0;0;0;0
5555;0;0;0;0;683.783;2.333333333;0;0;683.783;2.333333333;0;0;1014.065;14;3.388666667;0.666666667;337.531;1;504.21;7;144.9066667;0.666666667;0;0
5556;0;0;0;0;1279.611;1.666666667;0;0;1279.508333;1.333333333;0;0;1292.671333;8;0;0;409.4686667;2.666666667;0;0;846.6666667;1;0;0
5557;0;0;2833.333333;0.333333333;3903.416667;2.333333333;0;0;1070.080333;1.666666667;0;0;3909.458;13.33333333;0;0;2255.584;2.333333333;1022.25;4;500;0.333333333;0;0
5558;80;1;0;0;339.99;3.333333333;180;0.666666667;79.815;1;0.112;0.333333333;365.2743333;8;0;0;0;0;140;3;225;4;0;0
5559;0;0;0;0;1410.823333;2;0;0;1410.823333;2;0;0;1409.279333;6.333333333;0;0;308.324;1;257.06;3.333333333;836.6666667;1;0;0
5560;0;0;0;0;1428.217333;2.333333333;0;0;1428.199667;2;0;0;1589.250667;11.33333333;0;0;200.5293333;1;1257.406667;7;120;0.333333333;0;0
5561;0;0;0;0;667.9533333;1.333333333;0;0;667.9533333;1.333333333;0;0;667.9926667;6;0;0;159.9986667;1;0;0;491.6666667;1.333333333;0;0
5562;0;0;0;0;468.891;1;0;0;468.891;1;0;0;625.8266667;2.666666667;0;0;0;0;0;0;620;1.333333333;1.416;1
5563;0;0;0;0;452.6666667;1.333333333;0;0;452.6666667;1.333333333;0;0;434.1873333;4.666666667;0;0;101.734;1;30.42333333;0.333333333;290;0.666666667;0;0
5564;0;0;0;0;203.216;0.666666667;0;0;201.224;0.333333333;0;0;378.6633333;5.333333333;33.33333333;0.333333333;0;0;301.4;1.333333333;0;0;33.33333333;0.333333333
5565;0;0;0;0;694.0006667;3.333333333;0;0;661.4933333;1.333333333;0;0;727.273;7;0;0;229.104;1;0;0;455;1.333333333;32.296;0.666666667
5566;0;0;0;0;1242.779;2.333333333;0;0;1242.776;2;23.6;0.333333333;1473.700333;11;0;0;589.7603333;3;0;0;730;1.333333333;0;0
5567;0;0;0;0;1477.487;3.333333333;0;0;1470.699333;3;0;0;386.4003333;3;0;0;142.6916667;1;66.66666667;0.333333333;166.6666667;0.333333333;0;0
5568;0;0;0;0;819.5536667;2;0;0;819.5486667;1.666666667;0;0;824.0856667;9;5;0.666666667;378.633;1;416.6666667;2;0;0;0;0
5569;0;0;0;0;913.8393333;2.666666667;133.3333333;0.333333333;780.501;1.666666667;0;0;915.1483333;9;0;0;301.8333333;1;0;0;592.2933333;3.333333333;0;0
5570;0;0;0;0;853.0913333;2;0;0;853.0883333;1.666666667;0;0;855.2926667;10.66666667;0;0;159.166;1.333333333;0;0;498.0533333;2.666666667;0;0
5571;0;0;0;0;395.8706667;1.333333333;0;0;395.8706667;1.333333333;0;0;400.0606667;8.666666667;0;0;227.515;1;37.36333333;2;57;1;0;0
5572;0;0;0;0;941.0203333;1.666666667;0;0;941.0183333;1.333333333;0;0;917.0256667;13.66666667;190.7933333;2.333333333;102.9786667;0.333333333;396.0366667;5.666666667;0;0;1.888;1.333333333
5573;0;0;0;0;738.4213333;2;0;0;738.4203333;1.666666667;0;0;796.9843333;11.33333333;0;0;336.094;2;433.3333333;2.333333333;0;0;0;0
5574;0;0;0;0;861.4786667;1;0;0;861.4786667;1;0;0;1107.033667;7.666666667;0;0;307.617;1;718.14;2.666666667;66.66666667;0.666666667;0;0
5575;0;0;0;0;1304.24;2;0;0;1304.229667;1.666666667;0;0;1305.975;11.66666667;0;0;582.9746667;2;689.4266667;4;0;0;0;0
5576;0;0;0;0;629.6666667;1.333333333;0;0;629.6666667;1.333333333;0;0;632.0793333;5.333333333;0;0;232.4536667;1;386.6666667;1.666666667;0;0;0;0
5577;0;0;1666.666667;0.333333333;2689.176667;1.666666667;0;0;1022.51;1.333333333;0;0;1245.805333;11.33333333;0;0;152.678;1.333333333;600.9166667;3;433.3333333;1.666666667;0;0
5578;0;0;0;0;0.025666667;0.333333333;0;0;0;0;0;0;0.615666667;0.666666667;0;0;0;0;0;0;0;0;0;0
5579;0;0;0;0;0.062333333;0.333333333;0;0;0;0;0;0;0.652333333;0.666666667;0;0;0;0;0;0;0;0;0;0
5580;0;0;0;0;628.8853333;1.666666667;0;0;628.8733333;1.333333333;0;0;631.3486667;5.666666667;0;0;235.5946667;1;0;0;377;1;0;0
5581;0;0;0;0;708.2073333;2;0;0;708.2053333;1.666666667;0;0;644.071;6.333333333;0;0;184.864;1;3.333333333;0.333333333;439.72;2;0;0
